ESTADO;MUNICÍPIO (S)                                                           ;ESCALA;FINALIDADE; NºAUT/ANO;      EMPRESA;PROJETO
PR;Guaíra, Terra Roxa, Mercedes, Nova Santa Rosa, Marechal Cândido Rondon, Quatro Pontes, Toledo, Cascavel, Santa Tereza do Oeste, Lindoeste, Santa Lucia , Capitão Leônidas Marques, Capanema, Céu Azul, Planalto, Pérola d' Oeste, Pranchita, Francisco Beltrão, Pinhal de São Bento, Manfrinópolis, Marmeleiro, Renascença, Vitorino todos, Pato Branco, Mariópolis, Clevelândia, Palmas, General Carneiro;GSD 20 cm;Aerofotogrametria e perfilamento a laser;252/2019;ENGEFOTO;1149B/2019
PR;Paranaguá, Pontal do Paraná, Matinhos, Guaratuba, Morretes, Antonina, São José dos Pinhais, Piraquara, Pinhais, Curitiba, Colombo, Almirante Tamandaré, Bocaiúva do Sul, Tunas do Paraná, Cêrro Azul, Rio Branco do Sul, Campo Magro, Campo Largo, Araucária, Contenda, Lapa, Balsa Nova, Porto Amazonas, Palmeira, Ponta Grossa , Teixeira Soares, Ipiranga, Imbituva, Fernandes Pinheiro,Guamiranga, Prudentópois, Irati, Rebouças, Guarapava, Candói, Cantagalo, Virmond, Laranjeiras, Diamante do Sul, Guaraniaçu, Campo Bonito, Ibema, Catanduvas, Cascavel, Santa Tereza do Oeste, Céu Azul, Matelândia, Medianeira, São Miguel do Iguaçu, Santa Terezinha de Itaipu, Foz do Iguaçu;GSD 20 cm;Aerofotogrametria e perfilamento a laser;251/2019;ENGEFOTO;1149A/2019
PR;Curitiba;6 ppm³ (LASER);Perfilamento a Laser;076/2019;ENGEFOTO;1139/2019
BA;América Dourada, Canarana, Cafarnaum, João Dourado, Morro do Chapéu, Ourolândia, Sento Sé, São Gabriel, Umburanas, Várzea Nova;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;015/2016;ENGEMAP;161/16
PR;Adrianópolis, Antonima, Bocaiúva do Sul, Campina Grande do Sul, Guaraqueçaba, Morretes, Tunas do Paraná;GSD 15 a 50 cm;Aerofotogrametria e Perfilamento a Laser;016/2016;ENGEMAP;164/16
SP;Barra do Turvo, Cajati, Cananéia, Cotia, Eldorado, Embu-Guaçu, Ibiúna, Iguape, Itapecerica da Serra, Itariri, Itanhaém, Jacupiranga, Juquiá, Juquitiba, Pedro de Toledo, Miracatu, Pariquera-Açu, Peruíbe, Piedade, Registro, São Bernardo do Campo, São Paulo, Sete Barras, Tapiraí;GSD 15 a 50 cm;Aerofotogrametria e Perfilamento a Laser;016/2016;ENGEMAP;164/16
BA;Casa Nova, Remanso;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;026/2016;ENGEMAP;162/16
PI;Campo Alegre do Fidalgo, Capitão Gervásio de Oliveira, Dom Inocêncio, Lagoa do Barro do Piauí, Nova Santa Rita, Paulistana, Queimada Nova, São Francisco de Assis do Piauí, São João do Piauí;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;026/2016;ENGEMAP;162/16
MG;Uberlândia;GSD 30 cm;Aerofotogrametria e Perfilamento a Laser;073/2016;ENGEMAP;168/2016
MG;Jaboticatubas;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;074/2016;ENGEMAP;169/2016
SP;Borborema, Cafelândia, Guarantã, Júlio Mesquita, Marília, Novo Horizonte, Pongai;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;086/2016;ENGEMAP;171/16
PR;Agudos do Sul, Andirá, Barra do Jacaré, Cambará, Mandirituba, São José dos Pinhais, Tijucas do Sul;GSD 11 cm;Aerofotogrametria e Perfilamento a Laser;088/2016;ENGEMAP;165/2016
SC;Blumenau, Campo Alegre, Corupá, Jaraguá do Sul, Pomerode, São Bento do Sul;GSD 11 cm;Aerofotogrametria e Perfilamento a Laser;088/2016;ENGEMAP;165/2016
TO;Miracema do Tocantins, Palmas;GSD 11 cm;Aerofotogrametria e Perfilamento a Laser;117/2016;ENGEMAP;174/2016
RS;Carlos Barbosa;GSD 8 a 14 cm;Aerofotogrametria e Perfilamento a Laser;130/2016;ENGEMAP;175/2016
MG;Uberlândia;GSD 12 cm;Aerofotogrametria e Perfilamento a Laser;131/2016;ENGEMAP;176/2016
PI;Conceição do Canindé, Dom Inocêncio, São João do Piauí;GSD 40 cm;Aerofotogrametria;150/2016;ENGEMAP;178/2016
SP;Marília;GSD 8 cm;Aerofotogrametria e Perfilamento a Laser;158/2016;ENGEMAP;181/2016
MT;Rosário Oeste;GSD 10 cm;Aerofotogrametria;161/2016;ENGEMAP;182/2016
SP;Américo Brasiliense, Araraquara, Avaré, Barra Bonita, Bocaína, Boa Esperança do Sul, Botucatu, Coronel Macedo, Jaú, Igaraçu do Tietê, Itaí, Itaporanga, Rincão, Santa Lúcia, São Carlos, São Manuel, Taquarituba;GSD 8 cm;Aerofotogrametria e Perfilamento a Laser;180/2016;ENGEMAP;180/2016
PR;Adrianópolis, Antonima, Bocaiúva do Sul, Campina Grande do Sul, Guaraqueçaba, Morretes, Tunas do Paraná;GSD 15 cm;Aerofotogrametria;213/2016;ENGEMAP;154B/2016
PA;Oriximiná;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;183/2016;ENGEMAP;183/2016
CE;Itarema, Paracuru, Paraipaba, São Gonçalo de Amarante;GSD 07 cm;Aerofotogrametria e Perfilamento a Laser;135/2017;ENGEMAP;193/2017
BA;Bom Jesus da Lapa, Boquira, Gentio do Ouro, Oliveira dos Brejinhos;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;122/2017;ENGEMAP;192/2017
MS;Batayporã, Campo Grande, Dourados, Ivinhema, Jaraguari, Nova Alvorada do Sul, Nova Andradina, Rio Brilhante, Taquarussu, Torrenos;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;122/2017;ENGEMAP;192/2017
PR;Alto Paraná, Apucarana, Arapongas, Atalaia, Cafezal do Sul, Cianorte, Cruzerio do Oeste, Diamante d' Oeste, Doutor Camargo, Entre Rios do Oeste,  Floresta, Foz do Iguaçu, Francisco Alves, Guaíra, Iporã, Ivatuba, Jussara, Mandaguaçu, Mandaguari, Marechal Cândido Rondon, Marialva, Maringá, Mercedes, Nova Esperança, Parnavaí, Perbal, Santa Helena, Santa Terezinha de Itaipu, São José das Palmeiras, São Miguel do Iguaçu, Sarandi, Tapejara, Terra Boa, Terra Roxa, Tuneiras do Oeste, Umuarama, Unifor;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;122/2017;ENGEMAP;192/2017
SP;Rosana;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;122/2017;ENGEMAP;192/2017
PR;Salto do Itararé,;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;038/2018;ENGEMAP;208/2018
SP;Araraquara, Areiópolis, Avaré, Barão de Antonina, Barra Bonita, Boa Esperança do Sul, Bocaina, Botucatu, Coronel Macedo, Dourado, Igaraçu do Tietê, Itajaí, Itaporanga, Jaú, Mineiros do Tietê, Pratânia, Riversul, São Manuel, Taquarituba, Trabiju;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;038/2018;ENGEMAP;208/2018
PB;Campina Grande, Conde, Cruz do Espírito, Ingá, Itabaiana, João Pessoa,  Mogeiro, Pedras de fogo, Pilar, Queimadas, Santa Rita, São José dos Ramos, São Miguel de Taipu;GSD 11 cm;Aerofotogrametria e Perfilamento a Laser;192/2018;ENGEMAP;219/2018
RN;Açu, Carnaúbas, Upanema;GSD 11 cm;Aerofotogrametria e Perfilamento a Laser;192/2018;ENGEMAP;219/2018
SP;Andradina, Araçatuba, Birigui, Brejo Alegre, Buritama, Glicério, Guararapes, Guzolândia, Ilha Solteira, Itapura, Lavínia, Lourdes, Mirandópolis, Pereira Barreto, Santo Antônio do Aracanguá, Sud Mennucci, Suzanópolis, Valparaíso, Zacarias;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;007/2018;ENGEMAP;203/2018
CE;Mauriti, Milagres;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;015/2018;ENGEMAP;204/2018
PA;Curinópolis, Floresta do Araguaia, Marabá, Rio Maria, Sapucaia, Xinguara ;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;015/2018;ENGEMAP;204/2018
PB;Assunção, Barra de Santa Rosa, Boa Visa, Bonito de Santa Fé, Cacimba de Dentro, Campina Grande, Cantingueira, Cuité, Damião, Emas, Gurjão, Igaracy, Itaporanga, Juazeirinho, Junco do Seridó, Patos, Piancó, Salgadinho, Santa Luzia, Santa Teresinha, Santo André, São José de Caiana, São  Mamede, Serra Grande, Soledade,  Taperoá;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;015/2018;ENGEMAP;204/2018
RS;Alto Feliz, Bento Gonçalves, Carlos Barbosa, Caxias do Sul, Farroupilha, Garibaldi, Nova Roma do Sul, Vale Real;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;029/2018;ENGEMAP;206/2018
PI;Gilbués, Monte Alegre do Piauí, São Gonçalo do Gurguéia;GSD 11 cm;Aerofotogrametria e Perfilamento a Laser;039/2018;ENGEMAP;207/2018
SP;Campinas, Hortolândia, Indaiatuba, Monte Mor;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;079/2018;ENGEMAP;212/2018
MG;Confins, Lagoa Santa, Pedro Leopoldo, São José da Lapa, Vespasiano;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;096/2018;ENGEMAP;213/2018
MG;Paracatu;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;104/2018;ENGEMAP;214/2018
MG;Águas Vermelhas, Buritizeiro, Cachoeira de Pajeú, Guanhães, Ibiaí, Itaobim, Medina, Ninheira, Pedra Azul, Pirapora, Ponte Chique, Sabinópolis, São Romão, Serro e Ubaí;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;133/2018;ENGEMAP;217/2018
SP;Assis, Maracaí, Paraguaçu Paulista, Tarumã;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;194/2018;ENGEMAP;221/2018
SP;Alvares Machado, Presidente Prudente, Regente Feijó;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;199/2018;ENGEMAP;222/2018
SP;Bauru, Lavínia;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;216/2018;ENGEMAP;223/2018
MG;Poços de Caldas;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;221/2018;ENGEMAP;225/2018
SP;Divinolândia, São Sebastião da Grama;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;221/2018;ENGEMAP;225/2018
SP;Adamantina, Birigui, Brejo Alegre, Dracena, Flora Rica, Flórida Paulista, Irapuru, Junqueirópolis, Pacaembu;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;149/2017;ENGEMAP;196/2017
MS;Campo Grande, Nova Alvoradado Sul, Nova Andradina;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;165/2017;ENGEMAP;198/2017
PR;Diamante d'Oeste, Entre Rios do Oeste, Foz do Iguaçu, Itaipulândia, Marechal Cândido Rondon, Medianeira, Missal, Ramilândia, Santa Helena, Santa Terezinha;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;165/2017;ENGEMAP;198/2017
RJ;Bom Jesus do Norte, São José do Calçado, Aperibé, Bom Jesus do Itabapoana, Cumbuci, Campos dos Goytacazs, Cantagalo, Carapebus, Cardoso Moreira, Carmo, Casimiro de Abreu, Conceição do Macabu, Cordeiro, Italva, Itaocara, Itaperuna, Macaé, Macuco, Miracema, Natividade, Quissamã, Rio das Ostras, Santa Maria Madalena, Santo Antônio de Pádua,  São Fiélis, São Francisco de Itabapoana, São João da Barra, Trajano de Morais;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;002/2017;ENGEMAP;185A/2016
RJ;Armação dos Búzios, Arraial do Cabo, Bom Jardim, Cabo Frio, Cachoeiras de Macacu, Casimiro de Abreu, Cordeiro, Duas Barras, Duque de Caxias, Guapirimirim, Iguaba Grande, Itaboraí, Macaé, Macuco, Magé, Maricá, Niterói, Nova Friburgo, Paraíba do Sul, Petrópolis, Rio Bonito, São Gonçalo, São Pedro da Aldeia, Saquarema, Silva Jardim , Tanguá, Teresópolis, Trajano Morais;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;044/2017;ENGEMAP;185/2016
SP;Álvares Machado, Assis, Bauru, Cabrália Paulista, Caiuá, Espírito Santo do Turvo, Paulistânia, Piratininga, Platina, Presidente Bernardes, Presidente Epitácio, Presidente Prudente, Presidente Venceslau, Rancharia, Santa Cruz do Rio Pardo, Santo Anastácio;GSD 40 cm;Aerofotogrametria e Perfilamento a Laser;191/2017;ENGEMAP;199/2017
SP;Bauru, Lavínia;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;208/2017;ENGEMAP;201/2017
GO;Paraúna;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;147/2017;ENGEMAP;195/2017
MG;Campo Florido, Pirajuba, Vazante;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;147/2017;ENGEMAP;195/2017
MG;Bandeira do Sul, Botelhos, Caldas, Poços de Caldas;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;034/2018;ENGEMAP;205/2018
ES;Colatina, Baixo Guandu;GSD 2 cm;Aerofotogrametria;131/2018;ENGEMAP;215/2018
BA;Pedro Alexandre;;Aerofotogrametria e Perfilamento a Laser;009/2018;ENGEMAP;200/2017
PB;Campina Grande, Pocinhos, Queimadas;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;009/2018;ENGEMAP;200/2017
PE;Caetés, Garanhuns, São João;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;009/2018;ENGEMAP;200/2017
SE;Aracaju, Areia Branca, Carira, Cristianópolis, Frei Paulo, Itabaiana, Laranjeiras, Nossa Senhora do Socorro, Santa Luzia do Itanhy, São Cristóvão, Umbaúba;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;009/2018;ENGEMAP;200/2017
RN;Almino Afonso, Antônio Martins, Apodi, Augusto Severo, Bom Jesus, Campo Redondo, Ceará-Mirim, Currais Novos, Florânia, Francisco Dantas, Frutuoso Gomes, Governador Dix-Sept Rosado, Itaú, Jandaíra, Janduís, João Câmara, José da Penha, Jucurutu, Lajes Pintadas, Luís Gomes, Macaíba, Macau, Major Sales, Marcelino Vieira, Messias Targino, Mossoró, Natal, Patu, Pau dos Ferros, Pedro Avelino, Poço Branco, Presidente Juscelino, Rafael Fernandes, Rodolfo Fernandes, Santa Cruz, São Francisco do Oeste São Gonçalo do Amarante, São Vicente, Senador Elói de Souza, Serrinha dos Pintos, Severino Melo, Taboleiro Grande, Taipu, Tangará, Tenente Laurentino Cruz, Triunfo Potiguar;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;064/2018;ENGEMAP;209/2018
PB;Uiraúna;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;064/2018;ENGEMAP;209/2018
SP;Adamantina, Assis, Dracena, Flórida Paulista, Herculândia, Iacri, Inúbia Paulista, Irapuru, João Ramalho, Junqueirópolis, Lucélia, Marília, Martinópolis, Oriente, Osvaldo Cruz, Pacaembu, Panorama, Paraguaçu Paulista, Parapuã, Paulicéia, Pompéia, Quatá, Quintana, Rancharia, Santa Mercedes, Tupã, Tupi Paulista;GSD 10 cm ;Aerofotogrametria e perfilamento a laser;012/2019;ENGEMAP;239/2019
PE;Afogados da Ingazeira, Arcoverde, Belo Jardim, Bezerros, Calumbi, Carnaíba, Caruaru, Chã Grande, Flores, Gravatá, Iguaraci, Jabotão dos Guararapes, Mirandiba, Moreno, Pesqueira, Pombos, Recife, Sairé, Salgueiro, Sanharó, Santa Cruz da Baixa Verde, São Caetano, São José do Belmonte, São Lourenço da Mata, Serra Talhada, Sertânia, Tacaimbó, Triunfo, Verdejante, Vitória de Santo Antão;GSD 10 cm;Aerofotogrametria e perfilamento a laser;062/2019;ENGEMAP;235/2018
RS;Alpestre, Aratiba, Barra do Rio Azul, Itatiba do Sul;GSD 11 cm;Aerofotogrametria e perfilamento a laser;027/2019;ENGEMAP;242/2019
SC;Águas de Chapecó, Águas Frias, Arvoredo, Cordilheira Alta, Coronel Freitas, Cunhataí, Itá, Modelo, Nova Itaberaba, Paial, Palmitos, Pinhalzinho, São Carlos, Saudades, Seara, União Do Oeste, Xanxerê, Xavantina, Xaxim;GSD 10 cm ;Aerofotogrametria e perfilamento a laser;027/2019;ENGEMAP;242/2019
RS;Glorinha, Gravataí, Osório, Santo Antônio da Patrulha;GSD 11 cm;Aerofotogrametria e perfilamento a laser;026/2019;ENGEMAP;243/2019
BA;Casa Nova;GSD 15 cm;Aerofotogrametria e perfilamento a laser;165/2019;ENGEMAP;252/2019
PI;Dom Inocêncio, Lagoa do Barro do Piauí, Queimada Nova;GSD 15 cm;Aerofotogrametria e perfilamento a laser;165/2019;ENGEMAP;252/2019
RS;Alegrete, Itaqui, Maçambara, Quaraí, Santana do Livramento;GSD 11 cm;Aerofotogrametria e perfilamento a laser;155/2019;ENGEMAP;249/2019
RS ;Capão da Canoa, Dom Pedro de Alcantara, Maquiné,  Morrinhos do Sul, Terra de Areia, Torres, Três Cachoeiras, Três Forquilhas, Xagari-lá;GSD 11 cm;Aerofotogrametria e perfilamento a laser;159/2019;ENGEMAP;250/2019
SC;Araranguá, Ermo, Forquilhas, Meleiro, Nova Veneza, Passo de Torres, Santa Rosa do Sul , São João do Sul, Sombrio, Turvo;GSD 10 cm ;Aerofotogrametria e perfilamento a laser;159/2019;ENGEMAP;250/2019
MG;Abre Campo, Alvorada de Minas, Carmésia, Conceição do Mato Dentro, Dom Joaquim, Ferros, Piedade de Ponte Nova, Rio Casca, Santo Antônio do Grama, São Pedro dos Ferros, Urucânia;GSD 9 cm;Aerofotogrametria e perfilamento a laser;168/2019;ENGEMAP;251/2019
RJ;São João da Barra;GSD 9 cm;Aerofotogrametria e perfilamento a laser;168/2019;ENGEMAP;251/2019
PI;Dom Inocêncio, Lagoa do Barro do Piauí, Queimada Nova;GSD 10 cm;Aerofotogramteria e Perfilamento a Laser;271/2019;ENGEMAP;259/2019
PI;São Gonçalo do Gurguéia;GSD  05 à 30 cm;Aerofotogramteria e Perfilamento a Laser;253/2019;ENGEMAP;257/2019
BA;Caetité, Igaporã;GSD 09 cm;Aerofotogramteria e Perfilamento a Laser;249/2019;ENGEMAP;258/2019
PB;Malta;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;022/2016;ESTEIO;001/2016
PR;Curitiba;GSD 5 cm;Aerofotogrametria;038/2016;ESTEIO;901/16
RJ;Rio de Janeiro;GSD 5 cm;Aerofotogrametria;038/2016;ESTEIO;901/16
PR;Paranaguá;GSD 10 cm;Aerofotogrametria;056/2016;ESTEIO;fev/16
RN;Santana do Matos, Bodó, Cerro Corá;GSD 15 cm;Aerofotogrametria e Perfilamento a Laser;096/2016;ESTEIO;004/2016
PA;Paragominas, Ipixuna do Pará;Não aplicável;Perfilamento a Laser;145/2016;ESTEIO;005/2016
PA;Barcarena;Não aplicável;Perfilamento a Laser;146/2016;ESTEIO;006/2016
SP ;Barra Bonita, Cravinhos, Jaú, São Simão;GSD 15 cm;Aerofotogrametria e Perfilamento a Laser;148/2017;ESTEIO;005/2017
MG;Poços de Caldas ;Não aplicável;Perfilamento a Laser;188/2017;ESTEIO;008/2017
PR;São José dos Pinhais;GSD 27 cm;Aerofotogrametria;055/2017;ESTEIO;901/2017
PA;São Geraldo do Araguaia, São Domingos do Araguaia, Marabá;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;137/2017;ESTEIO;006/2017
MA;Bacabeira;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;053/2017;ESTEIO;002/2017
RS;Novo Hamburgo;GSD 40 cm;Aerofotogrametria e Perfilamento a Laser;056/2018;ESTEIO;001/2018
MG;Ibiraci, Cássia, Itaú de Minas, Passos, Bom Jesus da Penha, Nova Resende, Juruaia, Muzambinho, Monte Belo, Cabo Verde, Divisa Nova, Campestre, Poço Fundo, Ipuiúna, Santa Rita de Caldas, Espírito Santo do Dourado ;Não Aplicável;Perfilamento a Laser;004/2018;ESTEIO;009/2017
PA;Barcarena;Não Aplicável;Perfilamento a Laser;093/2018;ESTEIO;002/2018
SP;Araçatuba, Birigui;GSD 15 cm;Aerofotogrametria e Perfilamento a Laser;187/2018;ESTEIO;003/2018
RS;Campo Bom;GSD 10 e 13 cm;Aerofotogrametria e Perfilamento a Laser;240/2018;ESTEIO;005/2018
MG;Carmópolis de Minas, Cláudio, Carmo do Cajuru, Itaúna, Pará de Minas, São José da Varginha, Fortuna de Minas, Cachoeira da Prata, Inhaúma, Sete Lagoas, Prudente de Moraes, Funilândia, Jequitibá, Araçaí, Santana de Pirapama, Baldim, Santana do Riacho, Congonhas do Norte, Conceição do Mato Dentro, Morro do Pilar, Itambé do Mato Dentro, Itabira, Itaguara, Itatiaiuçu, Rio Manso, Mateus Leme, Brumadinho, Bom Jesus do Amparo, Barão de Cocais, Santa Bárbara, São Gonçalo do Rio Abaixo, Itabirito, Ouro Preto, Moeda, Belo Vale, Bonfim, Piedade dos Gerais, Crucilândia, Piracema, Igarapé, São Joaquim de Bicas, Mário Campos, Sarzedo, Ibirité, Betim, Juatuba, Florestal, Esmeraldas, Capim Branco, Pedro Leopoldo, Matozinhos, Confins, São José da Lapa, Ribeirão das Neves, Vespasiano, Belo Horizonte, Sabará, Santa Luzia, Lagoa Santa, Taquaraçu de Minas, Nova União, Jaboticatubas, Baldim, Caeté, Raposos, Rio Acima, Nova Lima;Não aplicável;Perfilamento a Laser;036/2016;FIDUCIAL;002/2016
PI;Guadalupe;Não aplicável;Perfilamento a Laser;011/2016;FOTOTERRA;FPR012016
SP;Bragança Paulista;1:5.000;Aerofotogrametria e Perfilamento a Laser;037/2016;FOTOTERRA;FPR022016
MG;Monte Verde;1:5.000;Aerofotogrametria e Perfilamento a Laser;037/2016;FOTOTERRA;FPR022016
SP;Rosana, Lençóis Paulista, Prataria, São Manuel, Anhembi, Piracicaba;1:8.000;Hiperspectral;058/2016;FOTOTERRA;FPR032016
PR;Diamante do Norte, Presidente Castelo Branco, Mandaguaçu, Londrina, Rancho Alegre, Sertaneja;1:8.000;Hiperspectral;058/2016;FOTOTERRA;FPR032016
AM;Boca do Acre;1:5.000;Aerofotogrametria e Perfilamento a Laser;103/2016;FOTOTERRA;FPR060216
SP;Bragança Paulista;1:8.000;Aerofotogrametria e Perfilamento a Laser;113/2016;FOTOTERRA;FPR052016
SP;São Paulo, Pirapora do Bom Jesus, Santana de Parnaíba, Barueri, Itapevi, Taboão da Serra, Osasco, Caieiras, Mairiporã, Guarulhos, Arujá, Itaquaquecetuba, Ferraz de Vasconcelos, Suzano, Mogi das Cruzes, Mauá, São Caetano, São Bernardo, Diadema, Embu Guaçu, Itapecerica da Serra;GSD 20 cm;Aerofotogrametria;079/2016;FOTOTERRA;FPR042016
SP;Teodoro Sampaio, Euclides da Cunha;Não aplicável;Perfilamento a Laser;160/2017;FOTOTERRA;FPR07/2017
PR;Candido de Abreu, Grandes Rios, Rosário do Ivaí, Ortigueira, Faxinal, Mauá da Serra, Marilândia do Sul,  Ivaíporã, Prudentópolis, Londrina, Ivaí, Reserva, Ipiranga, Tabagi, Ponta Grossa, Castro, Telêmaco Borba, São Jeronimo da Serra, Pirai do Sul, Ventania, Curiúva, Sapopemba, Jaguariaíva, Arapoti, José da Boa Vista, Wenceslau Braz, Pinhalão, Figueira, Assai, Santa Cecília do Pavão Nova Santa Bárbara, São Sebastião da Amoreira, Ibaiti, Tomazina, Japira, Jaboti, Conselheiro Marinck, Congoinhas, Sanrto Ântonio do Paraíso, Ribeirão Pinhal, Jundiaí do Sul, Nova Fatima, Manoel Ribas, Angatuba ;5,597222222;Perfilamento a Laser;063/2017;FOTOTERRA;FPR03/2017
PA;Marabá, Parauapebas, São Felix do Xingu, Curionópolis;1:5.000;Aerofotogrametria e Perfilamento a Laser;023/2017;FOTOTERRA;FPR012017
PA;Juriti;5,597222222;Perfilamento a Laser;069/2017;FOTOTERRA;FPR042017
SP;Alambari, Alumínio, Angatuba, Arealva, Avaí, Buri, Campina do Monte Alegre, Capão Bonito Duartina, Guapiara, Ibiúna, Itaberá, Itaí, Itapetinga, Itapeva, Itirapina, Lucianópolis, Mairinque, Pederneiras, Piedade, Pilar do Sul, Presidente Alves, Ribeirão Branco, Ribeirão Grande, Salto de Pirapora, São Miguel arcanjo, São Pedro, São Roque, Sarapuí, Sorocaba, Taquarivaí, Votorantim, Paulistania, Agudos, Fernão, São José dos Campos, Rio Grande da Serra;Não aplicável;Perfilamento a Laser;115/2017;FOTOTERRA;FPR062017
RJ;Paraty;Não aplicável;Perfilamento a Laser;115/2017;FOTOTERRA;FPR062017
MG;São José do Goiabal, Sem Peixe;Não aplicável;Perfilamento a Laser;115/2018;FOTOTERRA;FPR062018
SP;São José dos Campos;GSD 10 cm;Aerofotogrametria;203/2017;FOTOTERRA;FPR08/2017
MG;Vazante;GSD 20 CM;Aerofotogrametria e Perfilamento a Laser;204/2017;FOTOTERRA;FPR09/2017
MG;Acaiaca, Açucena, Aimorés, Alpercta, Alvinópolis, Amparo do Serra, Barra Longa, Belo Oriente, Bom Jesus do Galho, Capitão Andrade, Caratinga, Conselheiro Pena, Coronel Fabriciano, Córrego Novo, Diogo de Vasconcelos, Dionísio, Dom Silvério, Fernandes Tourinho, Galiléia, Governador Valadares, Guaraciaba, Iapu, Ipaba, Ipatinga, Itueta, Jequeri, Mariana, Marliéria, Ouro Preto, Piedade de Ponte Nova, Ponte Nova, Raul Soares, Resplendor, Rio Casca, Rio Doce, Santa Cruz Escalvado, Santa Rita do Itueto, Santana do Paraíso, São Domingos do Prata, São José do Goiabal, São Pedro dos Ferros, Sobrália, Timóteo, Tumiritinga, Urucania;Não Aplicável;Perfilamento a Laser;046/2018;FOTOTERRA;FPR022018
ES;Baixo Guandu, Colatina, Itaguaçu, Linhares, Marilândia, Rio Bananal;Não Aplicável;Perfilamento a Laser;046/2018;FOTOTERRA;FPR022018
MS;Glória de Dourados, Ivinhema, Novo Horizonte do Sul, Jateí;1:10.000;Aerofotogrametria e Perfilamento a Laser;218/2018;FOTOTERRA;FPR062018
SP;Angatuba, Buri, Campina do Monte Alegre, Guareí, Iporanga, Itapetininga, Itapeva, Itararé, Paranapanema, Pilar do Sul, São Miguel Arcanjo, Sarapuí, Tapiraí;1:8.000;Perfilamento a Laser;088/2018;FOTOTERRA;FPR003/2018
SC;Agrolâdia, Alfredo Wagner, Angelina, Anita Garibaldi, Atlanta, Bom Retiro, Braço Trombudo, Campo Belo do Sul, Campos Novos, Canoinhas, Cerro Negro, Correia Pinto, Curitibanos, Fraiburgo, Ibirama, Imbuia, Itaiópolis, Ituporanga, Lages, Lebon Régis, Leoberto, Leal, Lontras, Mafra, Major Gerciano, Major Vieira, Mirim Doce, Monte Carlo, Monte Castelo, Otacílio Costa, Papanduva, Petrolândia, Ponte Alta, Ponte Alta do Norte, Pouso Redondo, Presidente Getúlio, Rio do Campo, Rio do Sul, Rio Rufino, Salete, Santa Cecília, Santa Terezinha, São Cristóvão do Sul, São Joaquim, São José do Cerrito,Taió, Tangará, Timbó Grande, Urubici, Urupema, Vargem, Vidal Ramos, Abdon, Batista;1:8.000;Perfilamento a Laser;088/2018;FOTOTERRA;FPR003/2018
