ESTADO;MUNICÍPIO (S)                                                           ;ESCALA;FINALIDADE; NºAUT/ANO;      EMPRESA;PROJETO
MS;Cassilândia, Chapadão do Sul, Costa Rica;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;182/2017;AEROSAT;147/2017
MT;Campo Verde, Primabera do Leste, Santo Antônio do Leste, General Carneiro, Poxoréo, Dom Aquino, Rondonópolis, Juscimeiro, Sorriso;GSD 20 cm;Aerofotogrametria;186/2017;AEROSAT;148/2017
GO;Nova Iguaçu de Goiás, Pilar de Goiás, Santa Terezinha de Goiás, Crixás, Nova Crixás, Aruanã;GSD 15 cm;Aerofotogrametria e Perfilamento a Laser;210/2017;AEROSAT;149/2017
MT;Cocalinho, Nova Nazaré, Água Boa;GSD 15 cm;Aerofotogrametria e Perfilamento a Laser;210/2017;AEROSAT;149/2017
CE;Ibiapina, Ubajara;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;086/2018;AEROSAT;151/2018
RS;Marques de Souza, Travesseiro, Pouso Novo, Progresso, Fontoura Xavier, Barros Cassal, Soledade, Coronel Barros, Ijuí, Catuípe, Santo Ângelo, Entre-Ijuís, Vitória das Missões, Caibaté, Mato Queimado, Guarani das Missões, Cerro Largo;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;111/2018;AEROSAT;157/2018
RS;Eldorado do Sul, Charqueadas, Triunfo ;GSD 40 cm;Aerofotogrametria;078/2018;AEROSAT;150/2018
PA;Ananindeua, Belém, Acará, Bacarena, Abaetetuba, Moju, Tailândia, Goianésia do Pará, Breu Branco, Ipixuna do Pará, Tucuruí;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;090/2018;AEROSAT;155/2018
MG;Serra do Salitre, Araxá, Presidente Olegário;GSD 10 cm ;Aerofotogrametria e Perfilamento a Laser;103/2018;AEROSAT;153/2018
GO;Paruana;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;103/2018;AEROSAT;153/2018
PR;São João das Palmeiras, Diamante do Oeste, São Pedro do Iguaçu, Vera Cruz do Oeste;GSD 25 cm;Aerofotogrametria;112/2018;AEROSAT;152/2018
PA;Castanhal;GSD 10 cm ;Aerofotogrametria e Perfilamento a Laser;122/2018;AEROSAT;154/2018
TO;Miracema do Tocantins, Miranorte, Rio dos Bois, Fortaleza do Taboão, Guaraí, Itaporã do Tocantins, Pequizeiro, Bernardo Sayão, Arapoema, Pau D'Arco, Araguaína;GSD 15 cm;Aerofotogrametria e Perfilamento a Laser;125/2018;AEROSAT;158/2018
PA;Floresta do Araguaia;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;125/2018;AEROSAT;158/2018
MG;Mutum, Pocrane, Conselheiro Pena, Tumiritinga, Galiléia, Governador Valadares, Santana de  Pirapama, Presidente Juscelino;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;169/2018;AEROSAT;159/2018
RS;Capivari do Sul, Santo Antônio da Patrulha, Glorinha, Gravataí;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;176/2018;AEROSAT;161/2018
PA;Altamira, Brasil Novo;1:5.000;Perfilamento a Laser;190/2018;AEROSAT;163/2018
